iter	Passed	Remaining
146	138	804
147	138	799
148	139	794
149	139	788
150	139	782
151	139	777
152	139	772
153	139	766
154	139	761
155	139	756
156	139	751
157	139	745
158	140	740
159	140	736
160	140	731
161	140	726
162	140	722
163	140	717
164	140	712
165	140	708
166	141	703
167	141	699
168	141	694
169	141	690
170	141	686
171	141	682
172	141	677
173	141	673
174	142	669
175	142	665
176	142	661
177	142	657
178	142	653
179	142	649
180	142	645
181	142	641
182	142	638
183	143	634
184	143	630
185	143	626
186	143	623
187	143	619
188	143	615
189	143	612
190	143	608
191	143	605
192	143	601
193	144	598
194	144	594
195	144	591
196	144	588
197	144	584
198	144	581
199	144	578
200	144	574
201	144	571
202	144	568
203	144	565
204	144	561
205	144	558
206	145	555
207	145	552
208	145	549
209	145	546
210	145	543
211	145	541
212	145	538
213	145	535
214	145	532
215	145	529
216	146	526
217	146	524
218	146	521
219	146	518
220	146	516
221	146	513
222	146	510
223	146	508
224	146	505
225	146	503
226	146	500
227	147	498
228	147	495
229	147	493
230	147	490
231	147	488
232	147	485
233	147	483
234	147	480
235	147	478
236	147	476
237	147	473
238	148	471
239	148	468
240	148	466
241	148	464
242	148	462
243	148	459
244	148	457
245	148	455
246	148	453
247	148	451
248	148	448
249	148	446
250	148	444
251	149	442
252	149	440
253	149	438
254	149	436
255	149	434
256	149	432
257	149	430
258	149	428
259	149	426
260	150	424
261	150	423
262	150	421
263	150	419
264	150	417
265	150	415
266	150	413
267	150	412
268	151	410
269	151	408
270	151	406
271	151	405
272	151	403
273	151	401
274	151	399
275	151	397
276	151	396
277	151	394
278	151	392
279	152	390
280	152	389
281	152	387
282	152	385
283	152	384
284	152	382
285	152	381
286	152	379
287	152	378
288	153	376
289	153	374
290	153	373
291	153	371
292	153	370
293	153	368
294	153	366
295	153	365
296	153	363
297	153	362
298	153	360
299	154	359
300	154	358
301	154	356
302	154	355
303	154	353
304	154	352
305	154	350
306	154	349
307	154	347
308	154	346
309	154	344
310	155	343
311	155	342
312	155	340
313	155	339
314	155	337
315	155	336
316	155	334
317	155	333
318	155	332
319	155	330
320	155	329
321	155	328
322	155	326
323	155	325
324	156	324
325	156	322
326	156	321
327	156	320
328	156	318
329	156	317
330	156	316
331	156	315
332	156	313
333	156	312
334	156	311
335	156	310
336	156	308
337	157	307
338	157	306
339	157	305
340	157	303
341	157	302
342	157	301
343	157	300
344	157	299
345	157	298
346	157	297
347	157	296
348	158	294
349	158	293
350	158	292
351	158	291
352	158	290
353	158	289
354	158	288
355	158	287
356	158	286
357	158	285
358	159	284
359	159	282
360	159	281
361	159	280
362	159	279
363	159	278
364	159	277
365	159	276
366	159	275
367	160	274
368	160	273
369	160	272
370	160	271
371	160	270
372	160	269
373	160	268
374	160	267
375	160	266
376	160	265
377	160	264
378	161	263
379	161	262
380	161	261
381	161	260
382	161	259
383	161	258
384	161	257
385	161	256
386	161	255
387	161	254
388	161	254
389	161	253
390	161	252
391	161	251
392	162	250
393	162	249
394	162	248
395	162	247
396	162	246
397	162	245
398	162	244
399	162	244
400	162	243
401	162	242
402	163	241
403	163	240
404	163	239
405	163	238
406	163	238
407	163	237
408	163	236
409	163	235
410	163	234
411	164	234
412	164	233
413	164	232
414	164	231
415	164	230
416	164	230
417	164	229
418	164	228
419	164	227
420	164	226
421	165	226
422	165	225
423	165	224
424	165	223
425	165	222
426	165	222
427	165	221
428	165	220
429	165	219
430	165	219
431	166	218
432	166	217
433	166	216
434	166	216
435	166	215
436	166	214
437	166	214
438	166	213
439	167	212
440	167	211
441	167	211
442	167	210
443	167	209
444	167	208
445	167	208
446	167	207
447	167	206
448	167	206
449	168	205
450	168	204
451	168	203
452	168	203
453	168	202
454	168	201
455	168	201
456	168	200
457	168	199
458	168	198
459	168	198
460	168	197
461	169	196
462	169	196
463	169	195
464	169	194
465	169	194
466	169	193
467	169	192
468	169	192
469	169	191
470	169	190
471	169	190
472	170	189
473	170	188
474	170	188
475	170	187
476	170	186
477	170	186
478	170	185
479	170	184
480	170	184
481	170	183
482	170	182
483	170	182
484	171	181
485	171	180
486	171	180
487	171	179
488	171	179
489	171	178
490	171	177
491	171	177
492	171	176
493	171	175
494	171	175
495	171	174
496	172	174
497	172	173
498	172	172
499	172	172
500	172	171
501	172	171
502	172	170
503	172	169
504	172	169
505	172	168
506	172	168
507	172	167
508	173	166
509	173	166
510	173	165
